,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Адыгея,,,1.9,0.0,-1.5,-4.2,-3.6,-3.7,-3.9,-4.2,-4.3,-5.2,-5.9,-5.3,-4.8,-5.1,-4.5,-4.9,-4.7,-2.8,-2.1,-1.6,-1.2,-1.2,-0.5,-0.6,-0.6,-0.5,-0.9,-2.0
Алтайский край,,,1.8,0.4,-1.4,-4.9,-5.9,-6.0,-5.9,-5.4,-4.0,-5.1,-5.0,-5.1,-5.4,-5.1,-5.0,-6.4,-5.1,-3.6,-2.7,-1.9,-2.3,-1.9,-0.9,-0.8,-1.0,-1.5,-2.0,-3.2
Амурская область,,,7.6,5.3,2.3,-1.8,-2.3,-1.9,-2.6,-2.6,-1.8,-3.5,-4.4,-4.3,-4.5,-4.2,-4.8,-4.8,-3.7,-1.7,-2.2,-1.4,-1.5,-1.2,-0.4,0.2,-0.2,-0.6,-0.8,-1.6
Архангельская область,,,3.7,2.0,-1.3,-5.4,-6.5,-6.1,-5.3,-4.8,-4.2,-7.3,-7.5,-6.6,-7.1,-7.1,-6.5,-6.3,-4.9,-2.8,-2.6,-2.1,-2.0,-1.7,-0.8,-0.7,-0.9,-1.4,-1.9,-2.7
Астраханская область,,,4.7,2.8,0.9,-2.8,-3.6,-3.4,-3.4,-3.0,-3.7,-4.2,-4.4,-4.1,-3.7,-3.5,-2.6,-3.3,-2.3,-0.6,0.6,0.8,0.7,1.2,2.4,2.6,2.3,2.2,2.0,0.7
Башкортостан,,,6.5,4.7,2.4,-1.0,-1.7,-1.5,-1.0,-1.3,-1.0,-2.8,-2.9,-3.0,-3.0,-3.1,-2.9,-3.4,-2.5,-0.9,-0.3,0.6,0.6,0.4,1.4,1.5,1.7,1.2,0.8,-0.3
Белгородская область,,,0.0,-1.8,-3.2,-5.8,-5.8,-5.4,-5.7,-6.5,-6.3,-7.5,-7.5,-7.9,-7.6,-6.9,-7.1,-7.1,-5.8,-4.5,-3.7,-3.4,-3.5,-3.0,-2.4,-2.2,-2.5,-2.4,-2.8,-3.8
Брянская область,,,0.1,-1.1,-2.5,-5.8,-7.2,-6.7,-6.8,-8.3,-8.3,-9.7,-10.4,-10.0,-10.6,-10.0,-9.8,-10.8,-9.5,-7.6,-6.8,-5.8,-6.3,-5.2,-4.8,-4.8,-5.0,-4.4,-4.7,-5.8
Бурятия,,,9.2,6.7,3.4,-0.4,-1.2,-0.3,-0.3,-0.5,0.3,-1.6,-1.5,-2.2,-1.6,-1.9,-1.5,-1.7,0.3,2.8,3.5,4.4,4.3,4.3,5.1,5.8,6.0,5.9,5.2,3.8
Владимирская область,,,-0.4,-2.2,-4.3,-7.8,-9.3,-8.9,-8.5,-8.7,-8.6,-11.0,-11.5,-11.6,-12.2,-11.5,-10.8,-11.1,-9.8,-8.5,-8.0,-7.6,-7.2,-6.2,-5.2,-5.6,-5.4,-4.9,-5.3,-6.0
Волгоградская область,,,1.3,0.3,-1.4,-4.3,-5.8,-5.5,-5.8,-5.9,-5.9,-7.3,-7.0,-7.1,-6.8,-6.8,-5.8,-6.3,-5.5,-3.9,-3.2,-3.1,-3.4,-2.6,-1.9,-2.0,-2.1,-2.3,-2.5,-3.1
Вологодская область,,,1.4,-0.1,-2.9,-6.4,-7.9,-7.7,-7.3,-6.6,-6.2,-8.1,-7.2,-8.0,-8.3,-9.4,-8.4,-8.3,-6.2,-4.3,-4.3,-3.8,-4.2,-2.7,-1.1,-1.2,-1.2,-1.1,-1.7,-3.0
Воронежская область,,,-2.4,-3.7,-5.0,-8.1,-8.5,-8.4,-8.5,-9.0,-8.6,-10.3,-10.3,-10.6,-10.9,-10.7,-10.0,-10.4,-9.7,-8.7,-7.9,-6.6,-6.8,-5.7,-4.7,-4.8,-4.8,-4.2,-4.5,-5.0
Дагестан,,,19.9,18.6,16.3,13.5,13.8,13.6,11.9,11.1,10.7,9.2,9.0,9.2,9.9,9.9,9.9,9.6,9.3,11.3,12.4,12.4,12.1,12.9,13.4,13.3,13.6,12.9,12.3,11.3
Еврейская автономная область,,,8.2,6.2,2.3,-0.9,-2.1,-2.7,-3.1,-2.7,-1.7,-4.3,-4.8,-3.9,-4.6,-4.1,-5.0,-6.3,-3.9,-2.1,-1.4,-1.6,-1.9,-1.3,-1.1,-0.9,-1.1,-1.4,-1.8,-1.6
Забайкальский край,,,8.4,6.7,4.1,-0.3,-1.6,-0.6,-1.2,-1.1,0.2,-2.8,-2.7,-2.8,-3.1,-3.3,-3.3,-3.7,-1.6,0.5,1.6,2.2,2.1,2.2,3.1,3.4,3.5,2.5,2.3,1.7
Ивановская область,,,-2.4,-4.2,-6.1,-9.0,-11.4,-11.2,-10.9,-11.2,-10.7,-14.0,-13.6,-12.9,-13.7,-13.3,-12.6,-13.3,-11.0,-9.0,-9.0,-8.0,-8.0,-6.5,-5.8,-5.1,-5.3,-4.6,-5.2,-6.2
